# f1	Ua1[mV]	f2	Ua2[mV]	f3	Ua3[mV]	f4	Ua4[V]	PHI
#
100	307	100	36	100	151	100	3.46	179.2
250	307	250	36	250	151	250	3.46	179.2
500	307	500	36	500	151	500	3.46	179.3
750	307	750	36	750	151	750	3.46	179.3
1000	307	1000	36	1000	153	1000	3.46	179.3
100000	315	100000	36	1250	160	10000	3.46	176.8
125000	323	125000	36	1500	170	25000	3.46	172.2
150000	331	200000	38	1750	175	40000	3.38	143.4
175000	335	225000	39	2000	180	45000	3.18	138.1
200000	343	250000	39	2250	185	50000	3.02	132.1
250000	362	350000	41	2500	190	55000	2.85	127.8
300000	392	500000	47	3000	201	60000	2.69	125.1
350000	406	750000	61	3250	144	65000	2.53	122.9
375000	401	800000	65			70000	2.41	119.4
400000	387	900000	72			75000	2.29	117.7
450000	359	1000000	79			80000	2.21	112.9
500000	331	1250000	93			85000	2.09	115.1
600000	284	1500000	101			90000	1.97	113.0
750000	238	2000000	104			100000	1.81	112.8
1000000	191	3000000	92			120000	1.57	107.6
						150000	1.29	98.8
						175000	1.13	95.5
						200000	1.01	101.5
						250000	0.8	84.1
						500000	0.45	72
						1000000	0.28	57
